ONS code,Area,01/11/2004,10/10/2005,09/10/2006,08/10/2007,06/10/2008,05/10/2009,04/10/2010,03/10/2011,01/10/2012,07/10/2013,06/10/2014,05/10/2015,03/10/2016,02/10/2017,01/10/2018,07/10/2019,05/10/2020,04/10/2021,03/10/2022,02/10/2023,07/10/2024
E08000037,Gateshead,"1,833","2,071","2,008","2,186","2,283","2,343","2,484","2,018","2,054","1,865","1,389",979,"1,022","1,232","1,243","1,388","1,569","1,184","1,332","1,341","1,283"
E06000001,Hartlepool,"1,138","1,051",664,607,789,859,889,789,780,762,727,727,732,472,726,779,"1,061",828,847,633,596
E06000002,Middlesbrough,"1,374","1,390","1,457","1,462","1,380",993,819,740,787,626,577,689,785,944,"1,016","1,163","1,501","1,375","1,254","1,294","1,431"
E08000021,Newcastle upon Tyne,"2,719","2,470","2,425","2,612","1,837","1,522","1,700","1,654","1,243",978,"1,054","1,059","1,282","1,595","1,792","1,762","1,708","1,796","1,729","1,769","1,449"
E08000022,North Tyneside,"1,396","1,055","1,058","1,103","1,117","1,203","1,193","1,184","1,280","1,017","1,090","1,122","1,076","1,227","1,341","1,292","1,189","1,027",970,946,807
E06000057,Northumberland,[x],[x],[x],[x],[x],"2,628","2,411","2,372","2,337","2,137","2,136","2,015","1,975","1,895","1,949","2,301","2,635","1,914","2,123","2,343","2,153"
E06000003,Redcar and Cleveland,"1,248","1,211","1,053","1,046",976,"1,097","1,156","1,046","1,010",723,"1,026",958,868,955,865,833,994,836,800,887,501
E07000058,Sedgefield,"1,262","1,201",717,780,828,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E08000023,South Tyneside,668,835,937,903,"1,055","1,055","1,210","1,178",975,701,686,712,890,972,494,518,886,857,948,869,838
E06000004,Stockton-on-Tees,"1,191","1,144","1,178","1,217","1,282","1,196","1,051","1,025",943,887,866,757,909,954,938,"1,170","1,603","1,199","1,056","1,051","1,308"
E08000024,Sunderland,"2,383","2,404","2,375","2,339","2,205","1,863","1,729","1,740","1,503","1,572","1,481","1,664","1,758","1,779","1,893","2,088","2,293","2,086","2,010","2,067","1,857"
E07000059,Teesdale,353,366,403,423,446,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000161,Tynedale,299,318,339,376,421,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000162,Wansbeck,503,476,556,628,631,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000060,Wear Valley,639,678,761,814,990,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E12000002,North West,"68,594","68,275","71,811","73,047","73,888","70,782","66,410","59,772","52,262","43,698","40,461","40,287","38,969","39,344","39,769","39,195","44,560","40,738","40,704","42,356","38,894"
E07000026,Allerdale,695,759,790,722,745,728,766,923,926,707,784,785,802,838,820,823,827,690,647,[x],[x]
E07000027,Barrow-in-Furness,"1,204",812,900,907,933,884,737,685,723,578,592,891,907,788,837,859,969,901,892,[x],[x]
E06000008,Blackburn with Darwen,"1,799","1,725","1,647","1,712","1,657","1,530","1,586","1,599","1,611","1,407","1,248","1,179","1,563","1,132","1,203","1,122","1,155",957,982,"1,012",903
E06000009,Blackpool,"1,043","1,229","2,141","2,379","1,495","1,541","1,461","1,430","1,335","1,341","1,554","1,592","1,174","1,334","1,459","1,443","1,769","1,422","1,365","1,382","1,196"
E08000001,Bolton,0,"3,016","3,003","3,075","3,289","3,153","2,980","2,103","1,967","1,609","1,585","1,637","1,525","1,298","1,362","1,457","1,689","1,579","1,642","1,851","1,728"
E07000117,Burnley,"1,638","1,609","1,626","1,383","1,427","1,611","1,535","1,645","1,503","1,225","1,116","1,081","1,115","1,139",976,914,780,701,658,678,582
E08000002,Bury,"1,062","1,144","1,285","1,460","1,557","1,362","1,327","1,443","1,235",991,877,907,"1,050",957,972,966,974,983,"1,086","1,123","1,085"
E07000028,Carlisle,578,615,745,660,756,767,739,741,690,643,539,608,553,753,789,821,"1,011",656,668,[x],[x]
E06000049,Cheshire East,[x],[x],[x],[x],[x],"3,200","3,287","2,340","2,205","1,964","1,736","1,540","1,451","1,396","1,685","1,781","2,002","1,733","1,678","1,672","1,797"
E06000050,Cheshire West and Chester,[x],[x],[x],[x],[x],"1,879","2,079","1,999","1,917","1,864","1,776","1,806","1,756","1,749","1,630","1,502","1,552","1,405","1,575","1,384","1,480"
E07000013,Chester,"1,274","1,504","1,452",627,780,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000118,Chorley,514,592,594,602,681,677,716,775,753,574,563,511,502,439,499,453,576,460,410,411,470
E07000014,Congleton,611,692,754,757,576,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000029,Copeland,715,668,331,688,636,714,801,756,759,607,659,692,724,914,847,764,677,477,468,[x],[x]
E07000015,Crewe and Nantwich,671,605,693,768,937,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E06000063,Cumberland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"1,745","1,753"
E07000030,Eden,259,264,285,315,370,352,396,392,463,416,499,466,364,442,471,440,559,547,566,[x],[x]
E07000016,Ellesmere Port & Neston,231,255,285,215,226,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E07000119,Fylde,538,659,659,673,765,754,771,724,653,581,506,537,470,526,547,569,714,525,529,495,595
E06000006,Halton,954,679,838,892,954,"1,030",892,727,642,483,473,466,445,418,430,504,506,429,482,546,595
E07000120,Hyndburn,"1,311","1,239","1,236","1,152","1,246","1,197","1,191","1,160","1,223",954,901,788,710,675,674,634,656,480,442,454,393
E08000011,Knowsley,"1,387","1,040",999,"1,296","1,499","1,435","1,357","1,114","1,004",838,803,779,857,823,865,902,"1,056",912,972,800,673
E07000121,Lancaster,742,860,928,910,"1,030","1,157","1,093",984,960,838,923,908,"1,006","1,056","1,050",790,932,905,658,828,807
